step,uav_x,uav_y,jammer_power,uav_energy,node_0_x,node_0_y,node_0_sinr,node_0_aoi,node_0_energy,node_0_connected,node_1_x,node_1_y,node_1_sinr,node_1_aoi,node_1_energy,node_1_connected,node_2_x,node_2_y,node_2_sinr,node_2_aoi,node_2_energy,node_2_connected,node_3_x,node_3_y,node_3_sinr,node_3_aoi,node_3_energy,node_3_connected,node_4_x,node_4_y,node_4_sinr,node_4_aoi,node_4_energy,node_4_connected,reward,jammed_count
1,693.782484342129,549.4807918509046,0.24487793445587158,3517.047362500002,993.1086163866025,557.9599513031578,0.6395851424640298,5.0,0.00110577595364827,0,756.3946647024204,604.6478101586387,0.5892093866494105,5.0,0.0011106112429411046,0,378.7275708178495,784.4578211852652,0.20590266955217662,5.0,0.0012235499697977278,0,960.8541703876346,487.6881903025627,0.684218502268687,5.0,0.001102077925724083,0,459.6375970154447,863.8912404035389,0.22273445619719037,5.0,0.001210484097392535,0,5,5
2,675.5165123780746,595.8851077208406,0.015372704714536667,4149.258077617859,993.1086163866025,557.9599513031578,8.871295336092798,0.0,0.002155275889810034,1,756.3946647024204,604.6478101586387,9.552145689660687,0.0,0.002159672438681955,1,378.7275708178495,784.4578211852652,3.9957194456364276,0.0,0.002279612350274669,1,960.8541703876346,487.6881903025627,8.84356392843693,0.0,0.002151596929961009,1,459.6375970154447,863.8912404035389,4.4725461695540565,0.0,0.0022653632038435864,1,0,0
3,646.3377737747642,636.3277520046668,0.44459691643714905,4781.468792735717,993.1086163866025,557.9599513031578,0.2575736861782938,5.0,0.0033441257126131667,0,756.3946647024204,604.6478101586387,0.23817556444337318,5.0,0.003359789764814476,0,378.7275708178495,784.4578211852652,0.18017433473990718,5.0,0.003527838301116459,0,960.8541703876346,487.6881903025627,0.24504815519378245,5.0,0.003347518973444915,0,459.6375970154447,863.8912404035389,0.2078441098405285,5.0,0.003487298447233114,0,5,5
4,608.0604611736279,668.2941969615792,0.18380995094776154,5413.679507853574,993.1086163866025,557.9599513031578,0.49806767796544954,10.0,0.004465931841914983,0,756.3946647024204,604.6478101586387,0.3693083356361357,10.0,0.0045067025444470304,0,378.7275708178495,784.4578211852652,0.5928255580148709,10.0,0.004638075486716365,0,960.8541703876346,487.6881903025627,0.46434241293265566,10.0,0.00447456708985717,0,459.6375970154447,863.8912404035389,0.6908328669596896,10.0,0.00458886832776633,0,5,5
5,563.0644724790537,689.7969238711172,0.16275131702423096,6045.890222971431,993.1086163866025,557.9599513031578,0.45144862226581717,15.0,0.005595188806928897,0,756.3946647024204,604.6478101586387,0.2752731759637041,15.0,0.005686652024677801,0,378.7275708178495,784.4578211852652,0.9621516722137576,15.0,0.005724726736023129,0,960.8541703876346,487.6881903025627,0.41898861309974744,15.0,0.005609980738216694,0,459.6375970154447,863.8912404035389,1.0750283490909285,0.0,0.005671485259304833,1,4,4
6,514.1474403335405,699.4989973208109,0.08880830556154251,6678.100938089288,993.1086163866025,557.9599513031578,0.6759832203508016,20.0,0.0066979129283701476,0,756.3946647024204,604.6478101586387,0.3546663134469836,20.0,0.006837563677714837,0,378.7275708178495,784.4578211852652,2.623089601479305,0.0,0.00678629481445631,1,960.8541703876346,487.6881903025627,0.6301151576867536,20.0,0.006716607541906548,0,459.6375970154447,863.8912404035389,2.510111969607228,0.0,0.006733748862975021,1,3,3
7,464.3507888701016,696.7971893747874,0.02888457663357258,7310.311653207146,993.1086163866025,557.9599513031578,1.7330491820783076,0.0,0.007767210823463503,1,756.3946647024204,604.6478101586387,0.8152662748340241,25.0,0.007931086021084843,0,378.7275708178495,784.4578211852652,11.418576089113346,0.0,0.007834382313778948,1,960.8541703876346,487.6881903025627,1.6306528628358143,0.0,0.007787298980702245,1,459.6375970154447,863.8912404035389,8.10114984518901,0.0,0.007783818924284928,1,1,1
8,416.7706326905715,681.8594853651364,0.04139218479394913,7942.522368325004,993.1086163866025,557.9599513031578,1.0482070825819676,0.0,0.00885070995483315,1,756.3946647024204,604.6478101586387,0.4498886603353229,30.0,0.009060618725742601,0,378.7275708178495,784.4578211852652,9.087155276598299,0.0,0.008883737181571637,1,960.8541703876346,487.6881903025627,0.9969304107952471,5.0,0.008872612688877941,0,459.6375970154447,863.8912404035389,4.778424860691382,0.0,0.008838050670381795,1,2,2
9,374.3652754554522,655.6146393775842,0.35133424401283264,8574.733083442861,993.1086163866025,557.9599513031578,0.11046301024617879,5.0,0.010223420903967703,0,756.3946647024204,604.6478101586387,0.04394359744857623,35.0,0.010919842628125707,0,378.7275708178495,784.4578211852652,0.8869038201388049,5.0,0.009973631103544075,0,960.8541703876346,487.6881903025627,0.10628851382388058,10.0,0.010257952938781695,0,459.6375970154447,863.8912404035389,0.41905281380494236,5.0,0.009973451209054691,0,5,5
10,339.77127689061325,619.6944288207912,0.40865957736968994,9206.943798560718,993.1086163866025,557.9599513031578,0.08672855197420815,10.0,0.011684117359730734,0,756.3946647024204,604.6478101586387,0.032588477175977404,40.0,0.013060501071339277,0,378.7275708178495,784.4578211852652,0.5249919921923977,10.0,0.011091730741854057,0,960.8541703876346,487.6881903025627,0.08453210734017545,15.0,0.011729287790296273,0,459.6375970154447,863.8912404035389,0.26014408161854663,10.0,0.011160933627472539,0,5,5
11,315.1395242735073,576.3321984104664,0.3059394061565399,9839.154513678575,993.1086163866025,557.9599513031578,0.10859282687400941,15.0,0.013062366302969763,0,756.3946647024204,604.6478101586387,0.03893078309722124,45.0,0.01502372842174629,0,378.7275708178495,784.4578211852652,0.4726343721206636,15.0,0.0122174214044373,0,960.8541703876346,487.6881903025627,0.10727010459403818,20.0,0.013111570069466519,0,459.6375970154447,863.8912404035389,0.2569756424030236,15.0,0.0123501055060774,0,5,5
12,302.0015006799109,528.2240016119734,0.2737147808074951,10471.365228796432,993.1086163866025,557.9599513031578,0.11675842631687249,20.0,0.01441773787606937,0,756.3946647024204,604.6478101586387,0.040223901052795906,50.0,0.01695764611453651,0,378.7275708178495,784.4578211852652,0.3715836191855782,20.0,0.01336374088119254,0,960.8541703876346,487.6881903025627,0.11694738313706816,25.0,0.014466450031976,0,459.6375970154447,863.8912404035389,0.22110903088719747,20.0,0.013561764830717644,0,5,5
13,301.17406478389074,478.3609730939783,0.02435385435819626,11103.57594391429,993.1086163866025,557.9599513031578,1.2796678609864596,0.0,0.015494805660124707,1,756.3946647024204,604.6478101586387,0.43022695285610196,55.0,0.01809082400411836,0,378.7275708178495,784.4578211852652,3.0846900057733793,0.0,0.014422959741074525,1,960.8541703876346,487.6881903025627,1.3017101971177256,0.0,0.015543020694753119,1,459.6375970154447,863.8912404035389,1.9817868933465181,0.0,0.014628248488986986,1,1,1
14,312.70866254184074,429.84335446207604,0.3305686116218567,11735.786659032146,993.1086163866025,557.9599513031578,0.09652964369033644,5.0,0.016913927864350198,0,756.3946647024204,604.6478101586387,0.031188505275665482,60.0,0.020280369263803433,0,378.7275708178495,784.4578211852652,0.17908324161383107,5.0,0.0156723885013546,0,960.8541703876346,487.6881903025627,0.09959788142664208,5.0,0.016950808715328478,0,459.6375970154447,863.8912404035389,0.12278736276034664,5.0,0.015968679840548314,0,5,5
15,335.8881285320879,385.68773625153125,0.0968722254037857,12367.997374150003,993.1086163866025,557.9599513031578,0.3410056027314291,10.0,0.018068877908565283,0,756.3946647024204,604.6478101586387,0.10758828057136684,65.0,0.02166167228764709,0,378.7275708178495,784.4578211852652,0.5005333549590505,10.0,0.016793838804132072,0,960.8541703876346,487.6881903025627,0.35768365121822887,10.0,0.018100869706363907,0,459.6375970154447,863.8912404035389,0.3624247423526266,10.0,0.017117432624157228,0,5,5
16,369.2712758272776,348.63950093841436,0.11678311973810196,13000.20808926786,993.1086163866025,557.9599513031578,0.3013133845175246,15.0,0.01923762594320146,0,756.3946647024204,604.6478101586387,0.09296085324765198,70.0,0.023094918309358153,0,378.7275708178495,784.4578211852652,0.35474284776763365,15.0,0.017944728702574596,0,960.8541703876346,487.6881903025627,0.3216456401186031,15.0,0.0192621267121922,0,459.6375970154447,863.8912404035389,0.26928510175512116,15.0,0.01830026284277357,0,5,5
17,410.7825020172414,321.0021283542833,0.1468367725610733,13632.418804385718,993.1086163866025,557.9599513031578,0.26210159316717346,20.0,0.02042408491960612,0,756.3946647024204,604.6478101586387,0.07940140734922708,75.0,0.024593395453680895,0,378.7275708178495,784.4578211852652,0.2499857121933834,20.0,0.019137778576187807,0,960.8541703876346,487.6881903025627,0.28522535187704784,20.0,0.020437554837386032,0,459.6375970154447,863.8912404035389,0.1978685011203365,20.0,0.019530830931699158,0,5,5
18,457.8408401138441,304.4939764669806,0.22632472217082977,14264.629519503575,993.1086163866025,557.9599513031578,0.19116648247852808,25.0,0.02166095757704319,0,756.3946647024204,604.6478101586387,0.057150216959605024,80.0,0.026265955559105263,0,378.7275708178495,784.4578211852652,0.14856493143185046,25.0,0.020427993260507538,0,960.8541703876346,487.6881903025627,0.21251385545623222,25.0,0.021655726682313914,0,459.6375970154447,863.8912404035389,0.12214117290612746,25.0,0.020872793098452087,0,5,5
19,507.52043057759533,300.1414422049244,0.4472716450691223,14896.840234621432,993.1086163866025,557.9599513031578,0.1118306221514854,30.0,0.023029735900368217,0,756.3946647024204,604.6478101586387,0.033236333747423734,85.0,0.028385384732397042,0,378.7275708178495,784.4578211852652,0.07102015009372904,30.0,0.021979240092885564,0,960.8541703876346,487.6881903025627,0.12730282577875512,30.0,0.022985894233615016,0,459.6375970154447,863.8912404035389,0.06048476435249784,30.0,0.02251110904069412,0,5,5
