step,uav_x,uav_y,jammer_power,uav_energy,node_0_x,node_0_y,node_0_sinr,node_0_aoi,node_0_energy,node_0_status,node_1_x,node_1_y,node_1_sinr,node_1_aoi,node_1_energy,node_1_status,node_2_x,node_2_y,node_2_sinr,node_2_aoi,node_2_energy,node_2_status,node_3_x,node_3_y,node_3_sinr,node_3_aoi,node_3_energy,node_3_status,node_4_x,node_4_y,node_4_sinr,node_4_aoi,node_4_energy,node_4_status,reward,jammed_count
1,485.78748344170657,479.43292988585307,0.03841168433427811,764.3007749999998,273.69112610626587,172.5062406973925,0.24857138921788807,5.0,0.0010419930482412185,2,462.1687599695872,958.2490383969948,0.07935645637949675,5.0,0.0010572365222158114,2,560.1036858529192,397.69026604019086,0.24870973703784752,5.0,0.0010419890609530535,2,719.024203742126,20.9051235337413,0.16266181286741282,5.0,0.001045773822124281,2,507.6865851991494,707.4457071101656,0.041768540812055215,5.0,0.0010773642701773951,2,5,5
2,471.57496688341314,458.86585977170614,0.06732761859893799,1528.6015499999996,273.69112610626587,172.5062406973925,0.16235363425742172,10.0,0.002087787616669905,2,462.1687599695872,958.2490383969948,0.0419845512215664,10.0,0.002134382186334832,2,560.1036858529192,397.69026604019086,0.1461431432943426,10.0,0.0020889980348070907,2,719.024203742126,20.9051235337413,0.09765387310215749,10.0,0.002098818154301211,2,507.6865851991494,707.4457071101656,0.0203746406167934,10.0,0.002199339955623726,2,5,5
3,457.3624503251197,438.2987896575592,0.007114404812455177,2292.9023249999996,273.69112610626587,172.5062406973925,1.6421853893619167,0.0,0.003123613929084299,0,462.1687599695872,958.2490383969948,0.3544933389616325,15.0,0.0031742302290730905,2,560.1036858529192,397.69026604019086,1.329756228233449,0.0,0.003125096087620371,0,719.024203742126,20.9051235337413,0.8843108842256319,15.0,0.00313561891616979,2,507.6865851991494,707.4457071101656,0.1650258566881149,15.0,0.003244957204948935,2,3,3
4,443.1499337668263,417.7317195434123,0.07023985683917999,3057.2030999999993,273.69112610626587,172.5062406973925,0.20655841847765163,5.0,0.004167063988458444,2,462.1687599695872,958.2490383969948,0.03452343000704504,20.0,0.004260511062216921,2,560.1036858529192,397.69026604019086,0.12554649758722203,5.0,0.004174099692819187,2,719.024203742126,20.9051235337413,0.10112793636416834,20.0,0.00418803855431037,2,507.6865851991494,707.4457071101656,0.014552534348260407,20.0,0.004401776850739008,2,5,5
5,428.93741720853285,397.16464942926535,0.04499002546072006,3821.503874999999,273.69112610626587,172.5062406973925,0.3751948809496348,10.0,0.005206633612153111,2,462.1687599695872,958.2490383969948,0.049911139870570394,25.0,0.00533094340805625,2,560.1036858529192,397.69026604019086,0.17337289496091235,10.0,0.00521919820388811,2,719.024203742126,20.9051235337413,0.1622395726081141,25.0,0.005233840821214674,2,507.6865851991494,707.4457071101656,0.019809419923405014,25.0,0.005526237591632994,2,5,5
6,414.7249006502395,376.5975793151184,0.05117954686284065,4585.804649999999,273.69112610626587,172.5062406973925,0.39048983617805294,15.0,0.00624601636363849,2,462.1687599695872,958.2490383969948,0.04082253033275625,30.0,0.006409292304468595,2,560.1036858529192,397.69026604019086,0.1313218849592919,15.0,0.006267579461654495,2,719.024203742126,20.9051235337413,0.14700591757409873,30.0,0.00628077842332211,2,507.6865851991494,707.4457071101656,0.015291169641474344,30.0,0.006677167118316667,2,5,5
7,400.51238409194605,356.0305092009715,0.0714712142944336,5350.105424999999,273.69112610626587,172.5062406973925,0.3358121602579092,20.0,0.007286144912547372,2,462.1687599695872,958.2490383969948,0.02726617584791271,35.0,0.007509254603574709,2,560.1036858529192,397.69026604019086,0.07985818528671902,20.0,0.0073246754292346245,2,719.024203742126,20.9051235337413,0.10820715413410187,35.0,0.007332049162699113,2,507.6865851991494,707.4457071101656,0.009677335694355397,35.0,0.007895415041902967,2,5,5
8,386.2998675336527,335.46343908682456,0.02173764631152153,6114.406199999999,273.69112610626587,172.5062406973925,1.3158062041222902,0.0,0.008322257970163283,0,462.1687599695872,958.2490383969948,0.08283186573052762,40.0,0.008565552458664763,2,560.1036858529192,397.69026604019086,0.2210067772664074,25.0,0.0083675621208857,2,719.024203742126,20.9051235337413,0.3544871049626687,40.0,0.00837189729414339,2,507.6865851991494,707.4457071101656,0.02824538404663182,40.0,0.008993121046066877,2,4,4
9,372.08735097535924,314.89636897267764,0.05597522854804993,6878.706974999999,273.69112610626587,172.5062406973925,0.6399004257700757,5.0,0.009359845372798435,2,462.1687599695872,958.2490383969948,0.030303205691849577,45.0,0.009658992007594082,2,560.1036858529192,397.69026604019086,0.07264384760985843,30.0,0.009426865781050488,2,719.024203742126,20.9051235337413,0.14221481845579145,45.0,0.009419242164774456,2,507.6865851991494,707.4457071101656,0.009815388732181289,45.0,0.010208789968788155,2,5,5
10,357.8748344170658,294.3292988585307,0.0995728075504303,7643.007749999999,273.69112610626587,172.5062406973925,0.4522300496349961,10.0,0.010398601350188027,2,462.1687599695872,958.2490383969948,0.015978054128838383,50.0,0.010804932766984658,2,560.1036858529192,397.69026604019086,0.03464318226165762,35.0,0.010512968925726642,2,719.024203742126,20.9051235337413,0.08098535595378349,50.0,0.010476028714270863,2,507.6865851991494,707.4457071101656,0.004958977123710265,50.0,0.011601503642146066,2,5,5
