step,uav_x,uav_y,jammer_power,uav_energy,node_0_sinr,node_0_aoi,node_0_energy,node_1_sinr,node_1_aoi,node_1_energy,node_2_sinr,node_2_aoi,node_2_energy,node_3_sinr,node_3_aoi,node_3_energy,node_4_sinr,node_4_aoi,node_4_energy,reward,jammed_count
1,699.7500520789932,509.99583385413564,1.3767621517181396,74247.14589449996,0.08952742096581973,1.0,0.0014478962218735423,0.042672292159549326,1.0,0.0018832879530559835,0.06372694788688175,1.0,0.0016084555708861495,0.03772419886478677,1.0,0.00199238758982555,0.15150758271959555,1.0,0.0012855674922786153,5,5
2,699.0008330556052,519.9666833293657,0.43452873826026917,74373.57553809413,0.2698089161627779,2.0,0.002630469362638745,0.13679273038133863,2.0,0.0031940907430071663,0.19789059767387696,2.0,0.002839003578243334,0.1239310522096031,2.0,0.0033301486455960786,0.4441679253157645,2.0,0.0024161278126207187,5,5
3,697.7542155872085,529.8876264947198,1.6876767873764038,74500.00518168829,0.06626757026044526,3.0,0.004217567216365224,0.03571686291712432,3.0,0.0052393556220171845,0.05006420512320063,3.0,0.004599476125617185,0.0331569679750297,3.0,0.005452133927750383,0.1060385365502176,3.0,0.003802255859477659,5,5
4,696.0133155682483,539.7338661590122,0.7404565811157227,74626.43482528246,0.14429421968947886,4.0,0.005514863087018496,0.08258434296353044,4.0,0.006720597548697416,0.11216019976592012,4.0,0.005967321062654772,0.07858867977170217,4.0,0.006955235536209393,0.22436348185611835,4.0,0.005011579159471186,5,5
5,693.782484342129,549.4807918509046,1.6899993419647217,74752.86446887662,0.06053918665318291,5.0,0.007152651417260221,0.0367703645550322,5.0,0.008737391261441763,0.048392248513989794,5.0,0.007752289930049776,0.03586973685849241,5.0,0.008996265232555912,0.0914578775509946,5.0,0.006451102984134288,5,5
6,691.0672978251212,559.1040413322679,0.9506916403770447,74879.29411247079,0.1032214109995307,6.0,0.008547921152022978,0.06647882438260494,6.0,0.010322786699168572,0.08477890453329938,6.0,0.009222401954281974,0.0664959106738306,6.0,0.010581523451073433,0.15152747971778072,6.0,0.007736639667424782,5,5
7,687.8745425694758,568.5795614910903,0.3039167523384094,75005.72375606495,0.3101489146773372,7.0,0.009713293883746919,0.21163227575028573,7.0,0.011541656336453782,0.2615050527740928,7.0,0.010409171202065108,0.21712084958026792,7.0,0.011796140668023545,0.44254214144111115,7.0,0.008867496829324395,5,5
8,684.212198800577,577.88366846173,0.5609474182128906,75132.15339965912,0.16183841960851506,8.0,0.010983882451031985,0.11698556768984382,8.0,0.012896437146587168,0.14007880311486975,8.0,0.01171387938967667,0.12306803989142692,8.0,0.013135912101667965,0.22451364171553082,8.0,0.010076713974998392,5,5
9,680.0894204705354,586.9931068222461,1.905015230178833,75258.58304325328,0.0459748546665,9.0,0.01280741900098096,0.0351877521433096,9.0,0.014956644451757182,0.04082635874638434,9.0,0.01363477578525615,0.037960420970303235,9.0,0.015122444854026655,0.06203650363986447,9.0,0.011700349148740005,5,5
10,675.5165123780746,595.8851077208406,1.445630669593811,75385.01268684745,0.05852913891898548,10.0,0.014465345226143534,0.04740445925223557,10.0,0.016756897562234162,0.05328576557604627,10.0,0.015352382135708631,0.0524499245643409,10.0,0.016850667159431062,0.07685794733737346,10.0,0.013213624466209401,5,5
