step,uav_x,uav_y,jammer_power,uav_energy,node_0_x,node_0_y,node_0_sinr,node_0_aoi,node_0_energy,node_0_status,node_0_total_time,node_0_max_continuous_time,node_1_x,node_1_y,node_1_sinr,node_1_aoi,node_1_energy,node_1_status,node_1_total_time,node_1_max_continuous_time,node_2_x,node_2_y,node_2_sinr,node_2_aoi,node_2_energy,node_2_status,node_2_total_time,node_2_max_continuous_time,node_3_x,node_3_y,node_3_sinr,node_3_aoi,node_3_energy,node_3_status,node_3_total_time,node_3_max_continuous_time,node_4_x,node_4_y,node_4_sinr,node_4_aoi,node_4_energy,node_4_status,node_4_total_time,node_4_max_continuous_time,jammed_count
14,226.1591362953186,717.9705965518951,0.010034466162323952,10700.210857757489,33.17857069194763,871.5783881584624,1.029594256151557,0.0,0.014581605412522559,0,10.0,5.0,445.6456755016003,880.1745662427677,0.23652217207322837,70.0,0.014684037550456082,2,0.0,0.0,236.89926880901558,895.5652871979444,1.0044858998594326,0.0,0.014587923775107018,0,10.0,5.0,10.155857124329204,43.17152794111878,0.22615792397157317,70.0,0.014635713828453998,2,0.0,0.0,188.1008027224058,135.22476181698028,0.2031926465450712,70.0,0.014637499718319806,2,0.0,0.0,3
15,206.59907460212708,733.539924621582,0.09846479445695877,11464.5116354484,33.17857069194763,871.5783881584624,0.13461121339004883,5.0,0.015621225670956277,2,10.0,5.0,445.6456755016003,880.1745662427677,0.023396827482369775,75.0,0.015748727781425633,2,0.0,0.0,236.89926880901558,895.5652871979444,0.11924642399908367,5.0,0.015628224239239503,2,10.0,5.0,10.155857124329204,43.17152794111878,0.025107739319975408,75.0,0.015698336732213547,2,0.0,0.0,188.1008027224058,135.22476181698028,0.02110176405368367,75.0,0.015705489553531356,2,0.0,0.0,5
16,187.03901290893555,749.1092538833618,0.02241392247378826,12228.812403167556,33.17857069194763,871.5783881584624,0.6993191923508296,10.0,0.01665656430852381,2,10.0,5.0,445.6456755016003,880.1745662427677,0.09618607446657672,80.0,0.01679045650839455,2,0.0,0.0,236.89926880901558,895.5652871979444,0.5651975135790451,10.0,0.01666380853313518,2,10.0,5.0,10.155857124329204,43.17152794111878,0.10270376110390261,80.0,0.016739596812808025,2,0.0,0.0,188.1008027224058,135.22476181698028,0.08596844340858202,80.0,0.01674809588423933,2,0.0,0.0,5
17,167.47895121574402,764.6785831451416,0.06496196985244751,12993.113170886712,33.17857069194763,871.5783881584624,0.3044421723757906,15.0,0.017693234918589523,2,10.0,5.0,445.6456755016003,880.1745662427677,0.03117920824615357,85.0,0.017847574200061,2,0.0,0.0,236.89926880901558,895.5652871979444,0.20978937132353104,15.0,0.017701535477792768,2,10.0,5.0,10.155857124329204,43.17152794111878,0.03574641206992084,85.0,0.017793805681457626,2,0.0,0.0,188.1008027224058,135.22476181698028,0.02885403531790092,85.0,0.017807048172748446,2,0.0,0.0,5
18,147.9188895225525,780.2479112148285,0.03522385656833649,13757.413948577623,33.17857069194763,871.5783881584624,0.6961438642433232,20.0,0.018728578294810717,2,10.0,5.0,445.6456755016003,880.1745662427677,0.05317259499311335,90.0,0.01889527468387139,2,0.0,0.0,236.89926880901558,895.5652871979444,0.39376312534751956,20.0,0.0187376733300503,2,10.0,5.0,10.155857124329204,43.17152794111878,0.0629089541617228,90.0,0.018839439662124455,2,0.0,0.0,188.1008027224058,135.22476181698028,0.05009584154647351,90.0,0.018855568668600595,2,0.0,0.0,5
19,128.35882782936096,795.8172404766083,0.07675553858280182,14521.71471629678,33.17857069194763,871.5783881584624,0.4108028251060479,25.0,0.01976464066387281,2,10.0,5.0,445.6456755016003,880.1745662427677,0.02257497704627334,95.0,0.019961069381480706,2,0.0,0.0,236.89926880901558,895.5652871979444,0.17897128657518357,25.0,0.019775984390174327,2,10.0,5.0,10.155857124329204,43.17152794111878,0.028542176419144534,95.0,0.019898660744209686,2,0.0,0.0,188.1008027224058,135.22476181698028,0.022110043212147455,95.0,0.019922024542588408,2,0.0,0.0,5
20,108.79876613616943,811.3865697383881,0.08593463897705078,15286.015484015936,33.17857069194763,871.5783881584624,0.4709752240452691,30.0,0.02080047983369096,2,10.0,5.0,445.6456755016003,880.1745662427677,0.018531527165856522,100.0,0.021033724547818412,2,0.0,0.0,236.89926880901558,895.5652871979444,0.1515236815133174,30.0,0.020815015241452274,2,10.0,5.0,10.155857124329204,43.17152794111878,0.024725944004722836,100.0,0.020961720181332053,2,0.0,0.0,188.1008027224058,135.22476181698028,0.018787046379096783,100.0,0.020994158764218816,2,0.0,0.0,5
21,89.2387044429779,826.955897808075,0.006797268521040678,16050.316261706846,33.17857069194763,871.5783881584624,6.873059515878747,0.0,0.021834823812868068,0,15.0,5.0,445.6456755016003,880.1745662427677,0.20891215782588676,105.0,0.0220714657416858,2,0.0,0.0,236.89926880901558,895.5652871979444,1.6584072898374602,0.0,0.02184974119315663,0,15.0,5.0,10.155857124329204,43.17152794111878,0.2567802444419507,105.0,0.021998825729877946,2,0.0,0.0,188.1008027224058,135.22476181698028,0.2043171745014328,105.0,0.022031976591277657,2,0.0,0.0,3
22,69.67864274978638,842.5252270698547,0.07199298590421677,16814.617029426005,33.17857069194763,871.5783881584624,0.8914052414782156,5.0,0.02286993751185521,2,15.0,5.0,445.6456755016003,880.1745662427677,0.01855380799852837,110.0,0.023144074911523867,2,0.0,0.0,236.89926880901558,895.5652871979444,0.1484271074240469,5.0,0.022888869930232796,2,15.0,5.0,10.155857124329204,43.17152794111878,0.0275050323409388,110.0,0.02305898457454376,2,0.0,0.0,188.1008027224058,135.22476181698028,0.020216598864555232,110.0,0.02310143920694864,2,0.0,0.0,5
23,50.11858105659485,858.0945551395416,0.0001576318172737956,17578.917807116915,33.17857069194763,871.5783881584624,78.93344015535425,0.0,0.023904099518528704,0,20.0,5.0,445.6456755016003,880.1745662427677,3.3637597421279315,0.0,0.024178556664274525,0,5.0,5.0,236.89926880901558,895.5652871979444,15.765811620527074,0.0,0.02392312168499177,0,20.0,5.0,10.155857124329204,43.17152794111878,1.3091921037950858,0.0,0.024093832686196963,0,5.0,5.0,188.1008027224058,135.22476181698028,1.4921539326209399,0.0,0.024136216499570203,0,5.0,5.0,0
24,75.0797164440155,859.4879923760891,0.03729933872818947,18343.218596311195,33.17857069194763,871.5783881584624,1.7424349412012143,0.0,0.024938803077425607,0,25.0,10.0,445.6456755016003,880.1745662427677,0.0369302242962209,5.0,0.025232128972063627,2,5.0,5.0,236.89926880901558,895.5652871979444,0.30985647935788263,5.0,0.02495975131263613,2,20.0,5.0,10.155857124329204,43.17152794111878,0.05005389359498459,5.0,0.025142365058400392,2,5.0,5.0,188.1008027224058,135.22476181698028,0.03701001006172389,5.0,0.025189747369493296,2,5.0,5.0,4
25,100.04085183143616,860.8814296126366,0.05204777792096138,19107.519385505475,33.17857069194763,871.5783881584624,1.0250665682739613,0.0,0.025973809001638204,0,30.0,15.0,445.6456755016003,880.1745662427677,0.030168539899356295,10.0,0.026290009353171745,2,5.0,5.0,236.89926880901558,895.5652871979444,0.27902030347090784,10.0,0.025996635501474494,2,20.0,5.0,10.155857124329204,43.17152794111878,0.0358999089743482,10.0,0.026196489019938436,2,5.0,5.0,188.1008027224058,135.22476181698028,0.02682445644276037,10.0,0.026250560978299954,2,5.0,5.0,4
26,125.00198721885681,862.274866849184,0.02437862940132618,19871.820174699755,33.17857069194763,871.5783881584624,1.6946113594621788,0.0,0.027008525046892943,0,35.0,20.0,445.6456755016003,880.1745662427677,0.07357610185036885,15.0,0.02733400696486024,2,5.0,5.0,236.89926880901558,895.5652871979444,0.7474651908354645,15.0,0.02703190713457743,2,20.0,5.0,10.155857124329204,43.17152794111878,0.07374388639099225,15.0,0.02724046467339471,2,5.0,5.0,188.1008027224058,135.22476181698028,0.05650771757773138,15.0,0.027297473428647967,2,5.0,5.0,4
27,149.96312260627747,863.6683040857315,0.09590482711791992,20636.120963894035,33.17857069194763,871.5783881584624,0.34471549756211095,5.0,0.02804492148421615,2,35.0,20.0,445.6456755016003,880.1745662427677,0.021793653914323575,20.0,0.028400928901846277,2,5.0,5.0,236.89926880901558,895.5652871979444,0.2449594243273707,20.0,0.02806914662884348,2,20.0,5.0,10.155857124329204,43.17152794111878,0.01925792231566997,20.0,0.028311675097433174,2,5.0,5.0,188.1008027224058,135.22476181698028,0.014717374878946228,20.0,0.02838005499089472,2,5.0,5.0,5
28,174.92425799369812,865.061741322279,0.06842783838510513,21400.421753088314,33.17857069194763,871.5783881584624,0.3787389965290247,10.0,0.02908113147965792,2,35.0,20.0,445.6456755016003,880.1745662427677,0.03570075033287594,25.0,0.029455163169262836,2,5.0,5.0,236.89926880901558,895.5652871979444,0.4309391501508298,25.0,0.029105127430834724,2,20.0,5.0,10.155857124329204,43.17152794111878,0.026470881616034506,25.0,0.029372842159871487,2,5.0,5.0,188.1008027224058,135.22476181698028,0.02053207225018468,25.0,0.02944897814316155,2,5.0,5.0,5
29,199.88539338111877,866.4551785588264,0.036882560700178146,22164.722542282594,33.17857069194763,871.5783881584624,0.5544440003233727,15.0,0.030116740533998387,2,35.0,20.0,445.6456755016003,880.1745662427677,0.07816874871733025,30.0,0.030498593743281486,2,5.0,5.0,236.89926880901558,895.5652871979444,0.9613590925989671,30.0,0.030140181087374693,2,20.0,5.0,10.155857124329204,43.17152794111878,0.047579354581058726,30.0,0.030422112173795604,2,5.0,5.0,188.1008027224058,135.22476181698028,0.03759087368082416,30.0,0.030502212634714525,2,5.0,5.0,5
30,224.84652876853943,867.8486156463623,0.08348356932401657,22929.023331588432,33.17857069194763,871.5783881584624,0.20051689470627995,20.0,0.031154624386972304,2,35.0,20.0,445.6456755016003,880.1745662427677,0.04151276225375903,35.0,0.03155004416875283,2,5.0,5.0,236.89926880901558,895.5652871979444,0.4786403435406267,35.0,0.031175995817655185,2,20.0,5.0,10.155857124329204,43.17152794111878,0.0210759438767234,35.0,0.03149014321824653,2,5.0,5.0,188.1008027224058,135.22476181698028,0.01670189780663442,35.0,0.031579063675776065,2,5.0,5.0,5
31,249.80766415596008,869.2420527338982,0.06707173585891724,23693.32412089427,33.17857069194763,871.5783881584624,0.20446755845280876,25.0,0.0321924396516189,2,35.0,20.0,445.6456755016003,880.1745662427677,0.06275313135279856,40.0,0.03259570617424798,2,5.0,5.0,236.89926880901558,895.5652871979444,0.5979461334115561,40.0,0.03221151012047604,2,20.0,5.0,10.155857124329204,43.17152794111878,0.025657343877712912,40.0,0.03255216053133943,2,5.0,5.0,188.1008027224058,135.22476181698028,0.020572789498073805,40.0,0.03264791840650267,2,5.0,5.0,5
32,274.76879954338074,870.635489821434,0.09487011283636093,24457.62491020011,33.17857069194763,871.5783881584624,0.12079760064782558,30.0,0.03323266360051688,2,35.0,20.0,445.6456755016003,880.1745662427677,0.05478319210658434,45.0,0.03364301412418167,2,5.0,5.0,236.89926880901558,895.5652871979444,0.3815318725972663,45.0,0.03324770627835439,2,20.0,5.0,10.155857124329204,43.17152794111878,0.01788804345003314,45.0,0.033626193543770486,2,5.0,5.0,188.1008027224058,135.22476181698028,0.01444345930978534,45.0,0.03373141460443842,2,5.0,5.0,5
33,299.7299349308014,872.0289269089699,0.08383948355913162,25221.925699505948,33.17857069194763,871.5783881584624,0.11517418569663128,35.0,0.03427317473455169,2,35.0,20.0,445.6456755016003,880.1745662427677,0.07764971183004063,50.0,0.0346865054213546,2,5.0,5.0,236.89926880901558,895.5652871979444,0.35868837198387754,50.0,0.03428402189616511,2,20.0,5.0,10.155857124329204,43.17152794111878,0.019787140777347285,50.0,0.034696418184510004,2,5.0,5.0,188.1008027224058,135.22476181698028,0.016124072187705875,50.0,0.034809788615132425,2,5.0,5.0,5
34,324.69107031822205,873.4223639965057,0.08088479936122894,25986.226488811786,33.17857069194763,871.5783881584624,0.10183421345708889,40.0,0.0353144938735681,2,35.0,20.0,445.6456755016003,880.1745662427677,0.10227266569503002,55.0,0.035727794655898565,2,5.0,5.0,236.89926880901558,895.5652871979444,0.29622135642565245,55.0,0.03532075758110601,2,20.0,5.0,10.155857124329204,43.17152794111878,0.020051675962041087,55.0,0.03576616957677941,2,5.0,5.0,188.1008027224058,135.22476181698028,0.016467116807575514,55.0,0.03588724557546732,2,5.0,5.0,5
35,349.6522057056427,874.8158010840416,0.020600391551852226,26750.527278117625,33.17857069194763,871.5783881584624,0.3351456828378265,45.0,0.036350949525734234,2,35.0,20.0,445.6456755016003,880.1745662427677,0.5111004260598319,60.0,0.03676351393189701,2,5.0,5.0,236.89926880901558,895.5652871979444,0.9001632548799893,60.0,0.036355863265324605,2,20.0,5.0,10.155857124329204,43.17152794111878,0.07345639631645955,60.0,0.03681018291581146,2,5.0,5.0,188.1008027224058,135.22476181698028,0.061874036748766015,60.0,0.03693306833038261,2,5.0,5.0,5
36,374.61334109306335,876.2092383205891,0.039881929755210876,27514.828067311904,33.17857069194763,871.5783881584624,0.15341092769718942,50.0,0.03738992265442366,2,35.0,20.0,445.6456755016003,880.1745662427677,0.3389361983154369,65.0,0.03779994573215149,2,5.0,5.0,236.89926880901558,895.5652871979444,0.3705447255229359,65.0,0.03739211505494723,2,20.0,5.0,10.155857124329204,43.17152794111878,0.03815965045055868,65.0,0.03786313593842649,2,5.0,5.0,188.1008027224058,135.22476181698028,0.03194458835563524,65.0,0.03798964054667181,2,5.0,5.0,5
37,399.574476480484,877.6026754081249,0.026387233287096024,28279.128856617743,33.17857069194763,871.5783881584624,0.201427457545863,55.0,0.0384277904609426,2,35.0,20.0,445.6456755016003,880.1745662427677,0.634435902044728,70.0,0.038835390442086885,2,5.0,5.0,236.89926880901558,895.5652871979444,0.44418692882128963,70.0,0.03842804619221404,2,20.0,5.0,10.155857124329204,43.17152794111878,0.055340313675650205,70.0,0.03891031342444491,2,5.0,5.0,188.1008027224058,135.22476181698028,0.0468654628974926,70.0,0.039039137841699295,2,5.0,5.0,5
38,424.53561186790466,878.9961124956608,0.07145357131958008,29043.42964592358,33.17857069194763,871.5783881584624,0.06699791174626564,60.0,0.03947273561887288,2,35.0,20.0,445.6456755016003,880.1745662427677,0.27335792695442496,75.0,0.03987232758604168,2,5.0,5.0,236.89926880901558,895.5652871979444,0.13406794553685888,75.0,0.03946768784544556,2,20.0,5.0,10.155857124329204,43.17152794111878,0.02053848358808065,75.0,0.03997922578506107,2,5.0,5.0,188.1008027224058,135.22476181698028,0.01724877871901872,75.0,0.040114641458811204,2,5.0,5.0,5
39,399.6325170993805,881.1951732635498,0.04201221838593483,29807.73042164595,33.17857069194763,871.5783881584624,0.1278233257575367,65.0,0.040512636238844796,2,35.0,20.0,445.6456755016003,880.1745662427677,0.3999954664958508,80.0,0.04090843709008595,2,5.0,5.0,236.89926880901558,895.5652871979444,0.2814553005687857,80.0,0.04050454991422535,2,20.0,5.0,10.155857124329204,43.17152794111878,0.03514200280046986,80.0,0.041033776193628614,2,5.0,5.0,188.1008027224058,135.22476181698028,0.0294915434399764,80.0,0.041173061961196855,2,5.0,5.0,5
40,374.7294223308563,883.3942340314388,0.05654854327440262,30572.031197368316,33.17857069194763,871.5783881584624,0.10865606156087393,70.0,0.041553517410467374,2,35.0,20.0,445.6456755016003,880.1745662427677,0.2397527786855337,85.0,0.041945739757007654,2,5.0,5.0,236.89926880901558,895.5652871979444,0.2639327116715548,85.0,0.04154158022030091,2,20.0,5.0,10.155857124329204,43.17152794111878,0.02678372907468225,85.0,0.042094630040317126,2,5.0,5.0,188.1008027224058,135.22476181698028,0.02225495382404254,85.0,0.04223930879646341,2,5.0,5.0,5
41,349.82632756233215,885.5932947993279,0.0028830834198743105,31336.331973090684,33.17857069194763,871.5783881584624,1.9427849162416828,0.0,0.04258817500857288,0,40.0,20.0,445.6456755016003,880.1745662427677,3.447580521854802,0.0,0.04298021536784967,0,10.0,5.0,236.89926880901558,895.5652871979444,5.767754304451637,0.0,0.04257595141269784,0,25.0,5.0,10.155857124329204,43.17152794111878,0.37405042025243174,90.0,0.043130863726934615,2,5.0,5.0,188.1008027224058,135.22476181698028,0.35146378427314395,90.0,0.04327566540439673,2,5.0,5.0,2
42,324.923232793808,887.7923555672169,0.0601954348385334,32100.632748813052,33.17857069194763,871.5783881584624,0.13581209675995426,5.0,0.04362774858080597,2,40.0,20.0,445.6456755016003,880.1745662427677,0.13754717197811742,5.0,0.04401972292434377,2,10.0,5.0,236.89926880901558,895.5652871979444,0.405969427775458,5.0,0.04361203455436475,2,25.0,5.0,10.155857124329204,43.17152794111878,0.026005671615360174,95.0,0.044192510481129474,2,5.0,5.0,188.1008027224058,135.22476181698028,0.021258260452420553,95.0,0.044343407611935046,2,5.0,5.0,5
43,300.0201380252838,889.9914164841175,0.047916363924741745,32864.93352435937,33.17857069194763,871.5783881584624,0.19889412828566055,10.0,0.044665661394406024,2,40.0,20.0,445.6456755016003,880.1745662427677,0.1358503508961339,10.0,0.045059295022936166,2,10.0,5.0,236.89926880901558,895.5652871979444,0.6468275430637215,10.0,0.04464745739021865,2,25.0,5.0,10.155857124329204,43.17152794111878,0.03294405436958303,100.0,0.04524840854826574,2,5.0,5.0,188.1008027224058,135.22476181698028,0.026748142293359513,100.0,0.04540429671800665,2,5.0,5.0,5
44,275.11704325675964,892.1904772520065,0.004348139278590679,33629.234300081735,33.17857069194763,871.5783881584624,2.226167116076728,0.0,0.04570026737568782,0,45.0,20.0,445.6456755016003,880.1745662427677,1.1454132429497361,0.0,0.04609422487068026,0,15.0,5.0,236.89926880901558,895.5652871979444,7.976065109706719,0.0,0.045681780818238205,0,30.0,5.0,10.155857124329204,43.17152794111878,0.28932296460500556,105.0,0.046285201679079895,2,5.0,5.0,188.1008027224058,135.22476181698028,0.2547182024259024,105.0,0.046441424740401,2,5.0,5.0,2
45,250.21394848823547,894.3895381689072,0.04300273582339287,34393.535075628046,33.17857069194763,871.5783881584624,0.3130239266228636,5.0,0.04673687368189084,2,45.0,20.0,445.6456755016003,880.1745662427677,0.09786276741397516,5.0,0.04713582707754028,2,15.0,5.0,236.89926880901558,895.5652871979444,0.991365708770265,5.0,0.046716811249995056,2,30.0,5.0,10.155857124329204,43.17152794111878,0.03746966400169104,110.0,0.047338497257749544,2,5.0,5.0,188.1008027224058,135.22476181698028,0.02985134095749045,110.0,0.04749955513914925,2,5.0,5.0,5
46,243.42820465564728,870.3280824422836,0.07255728542804718,35157.83585840615,33.17857069194763,871.5783881584624,0.19869506138347276,10.0,0.04777479008062104,2,45.0,20.0,445.6456755016003,880.1745662427677,0.05515830797435481,10.0,0.04818304689494774,2,15.0,5.0,236.89926880901558,895.5652871979444,0.5623346232144247,10.0,0.047752402044551154,2,30.0,5.0,10.155857124329204,43.17152794111878,0.023791245446672018,115.0,0.048402684535450616,2,5.0,5.0,188.1008027224058,135.22476181698028,0.01900476270591467,115.0,0.048571256539963976,2,5.0,5.0,5
47,236.64246082305908,846.2666267156601,0.09997139871120453,35922.136641184254,33.17857069194763,871.5783881584624,0.15066735247869956,15.0,0.0488138475994353,2,45.0,20.0,445.6456755016003,880.1745662427677,0.037255921334673654,15.0,0.04923645116377818,2,15.0,5.0,236.89926880901558,895.5652871979444,0.3512289090490269,15.0,0.04878876001320984,2,30.0,5.0,10.155857124329204,43.17152794111878,0.018393321773686102,120.0,0.049475627502019365,2,5.0,5.0,188.1008027224058,135.22476181698028,0.014781812683165993,120.0,0.04965362786196155,2,5.0,5.0,5
48,229.8567169904709,822.2051709890366,0.030004726722836494,36686.43742396236,33.17857069194763,871.5783881584624,0.501747828412339,20.0,0.04984959312565344,2,45.0,20.0,445.6456755016003,880.1745662427677,0.11303684251929065,20.0,0.0502770789376678,2,15.0,5.0,236.89926880901558,895.5652871979444,0.9330694829491661,20.0,0.04982383689511632,2,30.0,5.0,10.155857124329204,43.17152794111878,0.06313730793196866,125.0,0.050521220662943976,2,5.0,5.0,188.1008027224058,135.22476181698028,0.05180376408931098,125.0,0.05070168113940797,2,5.0,5.0,5
